Model,Fold,FPR,TPR
XGBoost,1,0.000000,0.000000
XGBoost,1,0.000000,0.008403
XGBoost,1,0.000000,0.184874
XGBoost,1,0.025000,0.184874
XGBoost,1,0.025000,0.260504
XGBoost,1,0.050000,0.260504
XGBoost,1,0.050000,0.277311
XGBoost,1,0.050000,0.302521
XGBoost,1,0.100000,0.302521
XGBoost,1,0.100000,0.319328
XGBoost,1,0.150000,0.319328
XGBoost,1,0.150000,0.369748
XGBoost,1,0.175000,0.369748
XGBoost,1,0.175000,0.386555
XGBoost,1,0.200000,0.386555
XGBoost,1,0.200000,0.403361
XGBoost,1,0.225000,0.403361
XGBoost,1,0.225000,0.420168
XGBoost,1,0.225000,0.504202
XGBoost,1,0.250000,0.504202
XGBoost,1,0.250000,0.563025
XGBoost,1,0.300000,0.563025
XGBoost,1,0.300000,0.596639
XGBoost,1,0.350000,0.596639
XGBoost,1,0.350000,0.655462
XGBoost,1,0.375000,0.655462
XGBoost,1,0.375000,0.689076
XGBoost,1,0.400000,0.689076
XGBoost,1,0.400000,0.731092
XGBoost,1,0.425000,0.731092
XGBoost,1,0.425000,0.764706
XGBoost,1,0.500000,0.764706
XGBoost,1,0.500000,0.773109
XGBoost,1,0.525000,0.773109
XGBoost,1,0.525000,0.857143
XGBoost,1,0.550000,0.857143
XGBoost,1,0.550000,0.873950
XGBoost,1,0.550000,0.890756
XGBoost,1,0.575000,0.890756
XGBoost,1,0.575000,0.899160
XGBoost,1,0.650000,0.899160
XGBoost,1,0.650000,0.907563
XGBoost,1,0.675000,0.907563
XGBoost,1,0.675000,0.932773
XGBoost,1,0.700000,0.932773
XGBoost,1,0.700000,0.949580
XGBoost,1,0.725000,0.949580
XGBoost,1,0.725000,0.957983
XGBoost,1,0.825000,0.957983
XGBoost,1,0.825000,0.974790
XGBoost,1,0.850000,0.974790
XGBoost,1,0.850000,0.983193
XGBoost,1,0.875000,0.983193
XGBoost,1,0.875000,0.991597
XGBoost,1,0.900000,0.991597
XGBoost,1,0.900000,1.000000
XGBoost,1,1.000000,1.000000
Logistic Regression,1,0.000000,0.000000
Logistic Regression,1,0.000000,0.008403
Logistic Regression,1,0.000000,0.025210
Logistic Regression,1,0.000000,0.310924
Logistic Regression,1,0.000000,0.327731
Logistic Regression,1,0.000000,0.378151
Logistic Regression,1,0.025000,0.378151
Logistic Regression,1,0.025000,0.428571
Logistic Regression,1,0.050000,0.428571
Logistic Regression,1,0.050000,0.436975
Logistic Regression,1,0.075000,0.436975
Logistic Regression,1,0.075000,0.504202
Logistic Regression,1,0.100000,0.504202
Logistic Regression,1,0.100000,0.579832
Logistic Regression,1,0.125000,0.579832
Logistic Regression,1,0.125000,0.588235
Logistic Regression,1,0.150000,0.588235
Logistic Regression,1,0.150000,0.596639
Logistic Regression,1,0.175000,0.596639
Logistic Regression,1,0.175000,0.605042
Logistic Regression,1,0.200000,0.605042
Logistic Regression,1,0.200000,0.647059
Logistic Regression,1,0.250000,0.647059
Logistic Regression,1,0.250000,0.672269
Logistic Regression,1,0.275000,0.672269
Logistic Regression,1,0.275000,0.705882
Logistic Regression,1,0.300000,0.705882
Logistic Regression,1,0.300000,0.722689
Logistic Regression,1,0.300000,0.739496
Logistic Regression,1,0.300000,0.764706
Logistic Regression,1,0.325000,0.764706
Logistic Regression,1,0.325000,0.815126
Logistic Regression,1,0.350000,0.815126
Logistic Regression,1,0.350000,0.890756
Logistic Regression,1,0.400000,0.890756
Logistic Regression,1,0.400000,0.915966
Logistic Regression,1,0.425000,0.915966
Logistic Regression,1,0.425000,0.941176
Logistic Regression,1,0.450000,0.941176
Logistic Regression,1,0.450000,0.949580
Logistic Regression,1,0.500000,0.949580
Logistic Regression,1,0.500000,0.966387
Logistic Regression,1,0.575000,0.966387
Logistic Regression,1,0.575000,0.983193
Logistic Regression,1,0.850000,0.983193
Logistic Regression,1,0.850000,0.991597
Logistic Regression,1,0.875000,0.991597
Logistic Regression,1,0.875000,1.000000
Logistic Regression,1,1.000000,1.000000
Naive Bayes,1,0.000000,0.000000
Naive Bayes,1,0.000000,0.008403
Naive Bayes,1,0.000000,0.025210
Naive Bayes,1,0.000000,0.176471
Naive Bayes,1,0.025000,0.176471
Naive Bayes,1,0.025000,0.260504
Naive Bayes,1,0.025000,0.277311
Naive Bayes,1,0.025000,0.327731
Naive Bayes,1,0.025000,0.344538
Naive Bayes,1,0.025000,0.369748
Naive Bayes,1,0.075000,0.369748
Naive Bayes,1,0.075000,0.403361
Naive Bayes,1,0.100000,0.403361
Naive Bayes,1,0.100000,0.411765
Naive Bayes,1,0.125000,0.411765
Naive Bayes,1,0.125000,0.470588
Naive Bayes,1,0.150000,0.470588
Naive Bayes,1,0.150000,0.478992
Naive Bayes,1,0.175000,0.478992
Naive Bayes,1,0.175000,0.495798
Naive Bayes,1,0.200000,0.495798
Naive Bayes,1,0.200000,0.529412
Naive Bayes,1,0.225000,0.529412
Naive Bayes,1,0.225000,0.588235
Naive Bayes,1,0.250000,0.588235
Naive Bayes,1,0.250000,0.596639
Naive Bayes,1,0.275000,0.596639
Naive Bayes,1,0.275000,0.621849
Naive Bayes,1,0.300000,0.621849
Naive Bayes,1,0.300000,0.663866
Naive Bayes,1,0.325000,0.663866
Naive Bayes,1,0.325000,0.672269
Naive Bayes,1,0.350000,0.672269
Naive Bayes,1,0.350000,0.689076
Naive Bayes,1,0.375000,0.689076
Naive Bayes,1,0.375000,0.705882
Naive Bayes,1,0.400000,0.705882
Naive Bayes,1,0.400000,0.731092
Naive Bayes,1,0.425000,0.731092
Naive Bayes,1,0.425000,0.756303
Naive Bayes,1,0.450000,0.756303
Naive Bayes,1,0.450000,0.789916
Naive Bayes,1,0.475000,0.789916
Naive Bayes,1,0.475000,0.798319
Naive Bayes,1,0.500000,0.798319
Naive Bayes,1,0.500000,0.857143
Naive Bayes,1,0.550000,0.857143
Naive Bayes,1,0.550000,0.865546
Naive Bayes,1,0.600000,0.865546
Naive Bayes,1,0.600000,0.899160
Naive Bayes,1,0.625000,0.899160
Naive Bayes,1,0.625000,0.915966
Naive Bayes,1,0.700000,0.915966
Naive Bayes,1,0.700000,0.932773
Naive Bayes,1,0.750000,0.932773
Naive Bayes,1,0.750000,0.949580
Naive Bayes,1,0.775000,0.949580
Naive Bayes,1,0.775000,0.957983
Naive Bayes,1,0.800000,0.957983
Naive Bayes,1,0.800000,0.974790
Naive Bayes,1,0.825000,0.974790
Naive Bayes,1,0.825000,0.991597
Naive Bayes,1,0.925000,0.991597
Naive Bayes,1,0.925000,1.000000
Naive Bayes,1,1.000000,1.000000
KNN,1,0.000000,0.000000
KNN,1,0.025000,0.218487
KNN,1,0.150000,0.521008
KNN,1,0.250000,0.722689
KNN,1,0.400000,0.831933
KNN,1,0.675000,0.915966
KNN,1,0.825000,0.991597
KNN,1,0.900000,1.000000
KNN,1,1.000000,1.000000
SVM,1,0.000000,0.000000
SVM,1,0.000000,0.008403
SVM,1,0.000000,0.084034
SVM,1,0.000000,0.100840
SVM,1,0.000000,0.235294
SVM,1,0.025000,0.235294
SVM,1,0.025000,0.302521
SVM,1,0.050000,0.302521
SVM,1,0.050000,0.352941
SVM,1,0.075000,0.352941
SVM,1,0.075000,0.378151
SVM,1,0.075000,0.394958
SVM,1,0.075000,0.445378
SVM,1,0.100000,0.445378
SVM,1,0.100000,0.495798
SVM,1,0.125000,0.495798
SVM,1,0.125000,0.512605
SVM,1,0.150000,0.512605
SVM,1,0.150000,0.529412
SVM,1,0.175000,0.529412
SVM,1,0.175000,0.546218
SVM,1,0.200000,0.546218
SVM,1,0.200000,0.596639
SVM,1,0.225000,0.596639
SVM,1,0.225000,0.613445
SVM,1,0.250000,0.613445
SVM,1,0.250000,0.647059
SVM,1,0.275000,0.647059
SVM,1,0.275000,0.663866
SVM,1,0.275000,0.731092
SVM,1,0.300000,0.731092
SVM,1,0.300000,0.756303
SVM,1,0.350000,0.756303
SVM,1,0.350000,0.789916
SVM,1,0.375000,0.789916
SVM,1,0.375000,0.840336
SVM,1,0.425000,0.840336
SVM,1,0.425000,0.857143
SVM,1,0.450000,0.857143
SVM,1,0.450000,0.882353
SVM,1,0.500000,0.882353
SVM,1,0.500000,0.890756
SVM,1,0.525000,0.890756
SVM,1,0.525000,0.941176
SVM,1,0.600000,0.941176
SVM,1,0.600000,0.949580
SVM,1,0.625000,0.949580
SVM,1,0.625000,0.974790
SVM,1,0.650000,0.974790
SVM,1,0.650000,0.983193
SVM,1,0.700000,0.983193
SVM,1,0.700000,0.991597
SVM,1,0.900000,0.991597
SVM,1,0.900000,1.000000
SVM,1,1.000000,1.000000
XGBoost,2,0.000000,0.000000
XGBoost,2,0.000000,0.008850
XGBoost,2,0.000000,0.070796
XGBoost,2,0.000000,0.088496
XGBoost,2,0.000000,0.265487
XGBoost,2,0.021739,0.265487
XGBoost,2,0.021739,0.292035
XGBoost,2,0.043478,0.292035
XGBoost,2,0.043478,0.300885
XGBoost,2,0.065217,0.300885
XGBoost,2,0.065217,0.309735
XGBoost,2,0.108696,0.309735
XGBoost,2,0.108696,0.327434
XGBoost,2,0.152174,0.327434
XGBoost,2,0.152174,0.362832
XGBoost,2,0.152174,0.380531
XGBoost,2,0.152174,0.495575
XGBoost,2,0.173913,0.495575
XGBoost,2,0.173913,0.575221
XGBoost,2,0.217391,0.575221
XGBoost,2,0.217391,0.619469
XGBoost,2,0.239130,0.619469
XGBoost,2,0.239130,0.628319
XGBoost,2,0.239130,0.646018
XGBoost,2,0.239130,0.654867
XGBoost,2,0.260870,0.654867
XGBoost,2,0.260870,0.752212
XGBoost,2,0.282609,0.752212
XGBoost,2,0.282609,0.761062
XGBoost,2,0.304348,0.761062
XGBoost,2,0.304348,0.769912
XGBoost,2,0.326087,0.769912
XGBoost,2,0.326087,0.805310
XGBoost,2,0.413043,0.805310
XGBoost,2,0.434783,0.805310
XGBoost,2,0.434783,0.814159
XGBoost,2,0.478261,0.814159
XGBoost,2,0.478261,0.840708
XGBoost,2,0.521739,0.840708
XGBoost,2,0.521739,0.876106
XGBoost,2,0.543478,0.876106
XGBoost,2,0.543478,0.884956
XGBoost,2,0.565217,0.884956
XGBoost,2,0.565217,0.902655
XGBoost,2,0.608696,0.902655
XGBoost,2,0.608696,0.911504
XGBoost,2,0.630435,0.911504
XGBoost,2,0.630435,0.946903
XGBoost,2,0.673913,0.946903
XGBoost,2,0.673913,0.955752
XGBoost,2,0.760870,0.955752
XGBoost,2,0.760870,0.991150
XGBoost,2,0.956522,0.991150
XGBoost,2,0.956522,1.000000
XGBoost,2,1.000000,1.000000
Logistic Regression,2,0.000000,0.000000
Logistic Regression,2,0.000000,0.008850
Logistic Regression,2,0.000000,0.061947
Logistic Regression,2,0.000000,0.079646
Logistic Regression,2,0.000000,0.106195
Logistic Regression,2,0.021739,0.106195
Logistic Regression,2,0.021739,0.398230
Logistic Regression,2,0.021739,0.415929
Logistic Regression,2,0.021739,0.442478
Logistic Regression,2,0.043478,0.442478
Logistic Regression,2,0.043478,0.575221
Logistic Regression,2,0.043478,0.592920
Logistic Regression,2,0.043478,0.610619
Logistic Regression,2,0.065217,0.610619
Logistic Regression,2,0.065217,0.654867
Logistic Regression,2,0.108696,0.654867
Logistic Regression,2,0.108696,0.672566
Logistic Regression,2,0.130435,0.672566
Logistic Regression,2,0.130435,0.681416
Logistic Regression,2,0.152174,0.681416
Logistic Regression,2,0.152174,0.690265
Logistic Regression,2,0.195652,0.690265
Logistic Regression,2,0.195652,0.814159
Logistic Regression,2,0.239130,0.814159
Logistic Regression,2,0.282609,0.814159
Logistic Regression,2,0.326087,0.814159
Logistic Regression,2,0.326087,0.849558
Logistic Regression,2,0.369565,0.849558
Logistic Regression,2,0.369565,0.876106
Logistic Regression,2,0.391304,0.876106
Logistic Regression,2,0.391304,0.884956
Logistic Regression,2,0.478261,0.884956
Logistic Regression,2,0.478261,0.893805
Logistic Regression,2,0.521739,0.893805
Logistic Regression,2,0.521739,0.920354
Logistic Regression,2,0.543478,0.920354
Logistic Regression,2,0.543478,0.929204
Logistic Regression,2,0.565217,0.929204
Logistic Regression,2,0.652174,0.929204
Logistic Regression,2,0.673913,0.929204
Logistic Regression,2,0.673913,0.964602
Logistic Regression,2,0.717391,0.964602
Logistic Regression,2,0.717391,0.982301
Logistic Regression,2,0.760870,0.982301
Logistic Regression,2,0.760870,0.991150
Logistic Regression,2,0.891304,0.991150
Logistic Regression,2,0.891304,1.000000
Logistic Regression,2,1.000000,1.000000
Naive Bayes,2,0.000000,0.000000
Naive Bayes,2,0.000000,0.008850
Naive Bayes,2,0.000000,0.026549
Naive Bayes,2,0.000000,0.123894
Naive Bayes,2,0.021739,0.123894
Naive Bayes,2,0.021739,0.265487
Naive Bayes,2,0.043478,0.265487
Naive Bayes,2,0.043478,0.309735
Naive Bayes,2,0.065217,0.309735
Naive Bayes,2,0.065217,0.318584
Naive Bayes,2,0.086957,0.318584
Naive Bayes,2,0.086957,0.415929
Naive Bayes,2,0.086957,0.433628
Naive Bayes,2,0.108696,0.433628
